,预测值,实际值,测量值
0,0.99,1.03,1.04
1,1.64,1.62,1.69
2,1.02,1.21,1.33
3,2.27,2.1,3.34
4,1.41,1.52,1.14
5,1.7,1.66,1.73
6,0.73,0.75,0.75
7,1.33,1.36,1.21
8,2.4,2.4,1.8
9,1.42,1.38,1.91
10,0.59,0.63,0.75
11,1.42,1.35,1.45
12,1.26,1.28,1.23
13,1.61,1.45,1.32
14,0.92,1.08,0.13
15,3.79,3.22,1.77
16,0.94,1.12,0.27
17,1.33,1.32,1.15
18,0.37,0.37,0.53
19,0.56,0.6,1.03
20,1.63,1.61,1.35
21,0.87,0.82,0.82
22,1.3,1.38,1.31
23,1.44,1.52,1.68
24,0.38,0.3,0.13
25,1.46,1.43,1.48
26,1.54,1.57,1.56
27,1.04,0.9,1.5
28,1.42,1.47,1.45
29,2.71,2.33,1.48
30,1.57,1.56,1.39
31,0.32,0.14,0.02
32,2.39,2.34,2.73
33,1.01,1.19,1.34
34,1.16,1.18,0.67
35,1.37,1.33,1.36
36,0.62,0.7,0.65
37,0.88,0.89,0.39
38,1.57,1.72,1.65
39,1.48,1.39,1.48
40,1.67,1.62,1.68
41,1.4,1.47,1.45
42,1.76,1.63,1.44
43,1.56,1.54,1.52
44,1.03,1.19,1.33
45,0.85,0.95,0.12
46,0.11,0.04,0.02
47,1.46,1.46,1.42
48,1.54,1.43,1.51
49,1.24,1.13,0.99
50,1.32,1.4,1.32
51,1.43,1.45,1.5
52,1.12,1.31,1.42
53,1.49,1.42,1.72
54,1.55,1.63,1.07
55,0.29,0.2,0.02
56,1.74,1.73,1.75
57,1.72,1.59,1.68
58,2.53,2.29,1.77
59,0.18,0.06,0.09
60,1.1,1.12,1.09
61,1.69,1.51,1.38
62,1.36,1.36,1.42
63,1.55,1.51,1.57
64,1.39,1.2,1.05
65,1.58,1.59,1.46
66,0.68,0.74,0.87
67,0.99,1.06,1.24
68,0.13,0.12,0.04
69,1.59,1.62,2.13
70,1.51,1.53,1.5
71,1.41,1.5,1.74
72,1.61,1.61,1.38
73,1.5,1.58,1.28
74,2.05,2.1,1.31
75,0.51,0.45,0.2
76,1.5,1.44,1.5
77,1.5,1.45,1.25
78,1.04,1,1.51
79,0.97,0.99,0.14
80,1.15,1.19,1.48
81,1.53,1.57,1.48
82,1.35,1.25,1.31
83,0.57,0.53,0.87
84,0.3,0.25,0.21
85,1.5,1.57,1.57
86,0.86,0.77,1.15
87,1.51,1.49,1.35
88,2.07,2.11,2.14
89,1.33,1.5,0.63
90,0.73,0.67,0.15
